--- Arvore geradora minima de 20---
20 ~> 411 | dist: 1.88
20 ~> 412 | dist: 2.08
20 ~> 413 | dist: 2.20
20 ~> 414 | dist: 3.16
20 ~> 415 | dist: 2.56
20 ~> 416 | dist: 2.06
20 ~> 417 | dist: 1.86
20 ~> 418 | dist: 3.13
20 ~> 419 | dist: 2.17
20 ~> 420 | dist: 2.20
20 ~> 421 | dist: 2.16
20 ~> 422 | dist: 2.11
20 ~> 423 | dist: 2.67
20 ~> 424 | dist: 2.09
20 ~> 425 | dist: 1.92
20 ~> 426 | dist: 1.92
20 ~> 427 | dist: 1.92
20 ~> 428 | dist: 3.18
20 ~> 429 | dist: 2.03
20 ~> 430 | dist: 2.12
20 ~> 431 | dist: 1.40
20 ~> 432 | dist: 2.36
20 ~> 433 | dist: 2.34
20 ~> 434 | dist: 2.54
20 ~> 435 | dist: 2.16
20 ~> 436 | dist: 2.16
20 ~> 437 | dist: 2.29
20 ~> 438 | dist: 1.96
20 ~> 439 | dist: 2.31
20 ~> 440 | dist: 2.23
20 ~> 441 | dist: 1.71
20 ~> 442 | dist: 2.11
20 ~> 443 | dist: 2.57
20 ~> 444 | dist: 2.37
20 ~> 445 | dist: 2.48
20 ~> 446 | dist: 2.19
20 ~> 447 | dist: 2.29
20 ~> 448 | dist: 2.44
20 ~> 449 | dist: 2.47
20 ~> 450 | dist: 2.05
20 ~> 451 | dist: 2.34
20 ~> 452 | dist: 2.15
20 ~> 453 | dist: 1.78
20 ~> 454 | dist: 1.91
20 ~> 455 | dist: 2.54
20 ~> 456 | dist: 1.35
20 ~> 457 | dist: 2.51
20 ~> 458 | dist: 1.48
20 ~> 459 | dist: 1.85
20 ~> 460 | dist: 1.98
20 ~> 461 | dist: 1.52
20 ~> 462 | dist: 1.81
20 ~> 463 | dist: 2.35
20 ~> 464 | dist: 2.28
20 ~> 465 | dist: 1.74
20 ~> 466 | dist: 2.64
20 ~> 467 | dist: 2.13
20 ~> 468 | dist: 3.93
20 ~> 469 | dist: 2.73
20 ~> 470 | dist: 2.26
20 ~> 471 | dist: 1.93
20 ~> 472 | dist: 2.07
20 ~> 473 | dist: 2.59
20 ~> 474 | dist: 1.28
20 ~> 475 | dist: 1.85
20 ~> 476 | dist: 1.96
20 ~> 477 | dist: 2.38
20 ~> 478 | dist: 2.66
20 ~> 479 | dist: 2.06
20 ~> 480 | dist: 1.96
20 ~> 481 | dist: 2.35
20 ~> 482 | dist: 1.39
20 ~> 483 | dist: 1.95
20 ~> 484 | dist: 2.30
20 ~> 485 | dist: 2.25
20 ~> 486 | dist: 2.15
20 ~> 487 | dist: 2.56
20 ~> 488 | dist: 2.15
20 ~> 489 | dist: 1.83
20 ~> 490 | dist: 2.30
20 ~> 491 | dist: 2.57
20 ~> 492 | dist: 2.15
20 ~> 493 | dist: 2.19
20 ~> 494 | dist: 2.24
20 ~> 495 | dist: 1.91
20 ~> 496 | dist: 1.60
20 ~> 497 | dist: 2.64
20 ~> 498 | dist: 3.21
20 ~> 499 | dist: 1.90
20 ~> 500 | dist: 2.63
20 ~> 501 | dist: 1.48
20 ~> 502 | dist: 2.01
20 ~> 503 | dist: 2.30
20 ~> 504 | dist: 2.49
20 ~> 505 | dist: 1.64
20 ~> 506 | dist: 2.45
20 ~> 507 | dist: 2.20
20 ~> 508 | dist: 1.83
20 ~> 509 | dist: 2.37
20 ~> 510 | dist: 1.86
20 ~> 511 | dist: 2.03
20 ~> 512 | dist: 2.09
20 ~> 513 | dist: 1.89
20 ~> 514 | dist: 2.59
20 ~> 515 | dist: 2.10
20 ~> 516 | dist: 2.03
20 ~> 517 | dist: 2.34
20 ~> 518 | dist: 1.67
20 ~> 519 | dist: 1.24
20 ~> 520 | dist: 1.58
20 ~> 521 | dist: 2.56
20 ~> 522 | dist: 2.08
20 ~> 523 | dist: 2.11
20 ~> 524 | dist: 2.13
20 ~> 525 | dist: 1.97
20 ~> 526 | dist: 1.65
20 ~> 527 | dist: 2.37
20 ~> 528 | dist: 1.90
20 ~> 529 | dist: 2.28
20 ~> 530 | dist: 2.05
20 ~> 531 | dist: 2.02
20 ~> 532 | dist: 1.65
20 ~> 533 | dist: 1.79
20 ~> 534 | dist: 2.49
20 ~> 535 | dist: 1.59
20 ~> 536 | dist: 2.00
20 ~> 537 | dist: 1.97
20 ~> 538 | dist: 3.00
20 ~> 539 | dist: 2.12
20 ~> 540 | dist: 2.14
20 ~> 541 | dist: 2.62
20 ~> 542 | dist: 2.21
20 ~> 543 | dist: 2.31
20 ~> 544 | dist: 2.08
20 ~> 545 | dist: 2.71
20 ~> 546 | dist: 1.33
20 ~> 547 | dist: 1.89
20 ~> 548 | dist: 1.62
20 ~> 549 | dist: 2.46
20 ~> 550 | dist: 1.84
20 ~> 551 | dist: 1.99
20 ~> 552 | dist: 2.43
20 ~> 553 | dist: 1.20
20 ~> 554 | dist: 2.09
20 ~> 555 | dist: 3.80
20 ~> 556 | dist: 2.58
20 ~> 557 | dist: 2.03
20 ~> 558 | dist: 2.55
20 ~> 559 | dist: 1.97
20 ~> 560 | dist: 2.27
20 ~> 561 | dist: 1.97
20 ~> 562 | dist: 2.69
20 ~> 563 | dist: 2.26
20 ~> 564 | dist: 2.84
20 ~> 565 | dist: 3.13
20 ~> 566 | dist: 2.67
20 ~> 567 | dist: 2.00
20 ~> 568 | dist: 2.24
20 ~> 569 | dist: 2.45
20 ~> 570 | dist: 2.43
20 ~> 571 | dist: 1.79
20 ~> 572 | dist: 0.97
20 ~> 573 | dist: 1.98
20 ~> 574 | dist: 1.63
20 ~> 575 | dist: 2.53
20 ~> 576 | dist: 1.52
