--- Arvore geradora minima de 10---
10 ~> 347 | dist: 2.59
10 ~> 348 | dist: 1.88
10 ~> 349 | dist: 2.63
10 ~> 350 | dist: 1.96
10 ~> 351 | dist: 1.90
10 ~> 352 | dist: 2.61
10 ~> 353 | dist: 1.64
10 ~> 354 | dist: 2.06
10 ~> 355 | dist: 1.54
10 ~> 356 | dist: 2.45
10 ~> 357 | dist: 2.71
10 ~> 358 | dist: 2.72
10 ~> 359 | dist: 2.14
10 ~> 360 | dist: 1.69
10 ~> 361 | dist: 2.50
10 ~> 362 | dist: 1.47
10 ~> 363 | dist: 1.91
10 ~> 364 | dist: 2.63
10 ~> 365 | dist: 2.14
10 ~> 366 | dist: 2.25
10 ~> 367 | dist: 2.35
10 ~> 368 | dist: 2.74
10 ~> 369 | dist: 1.74
10 ~> 370 | dist: 2.55
10 ~> 371 | dist: 2.96
10 ~> 372 | dist: 1.59
10 ~> 373 | dist: 2.72
10 ~> 374 | dist: 2.08
10 ~> 375 | dist: 1.96
10 ~> 376 | dist: 2.79
10 ~> 377 | dist: 2.51
10 ~> 378 | dist: 1.86
10 ~> 379 | dist: 2.28
10 ~> 380 | dist: 2.14
10 ~> 381 | dist: 1.21
10 ~> 382 | dist: 2.07
10 ~> 383 | dist: 1.86
10 ~> 384 | dist: 2.35
10 ~> 385 | dist: 2.27
10 ~> 386 | dist: 2.02
10 ~> 387 | dist: 1.86
10 ~> 388 | dist: 2.67
10 ~> 389 | dist: 2.80
10 ~> 390 | dist: 2.21
10 ~> 391 | dist: 2.27
10 ~> 392 | dist: 2.28
10 ~> 393 | dist: 2.06
10 ~> 394 | dist: 2.20
10 ~> 395 | dist: 2.15
10 ~> 396 | dist: 2.00
10 ~> 397 | dist: 1.87
10 ~> 398 | dist: 1.87
10 ~> 399 | dist: 2.33
10 ~> 400 | dist: 2.40
10 ~> 401 | dist: 1.97
10 ~> 402 | dist: 3.18
10 ~> 403 | dist: 2.52
10 ~> 404 | dist: 1.67
10 ~> 405 | dist: 3.22
10 ~> 406 | dist: 2.11
10 ~> 407 | dist: 2.50
10 ~> 408 | dist: 2.64
10 ~> 409 | dist: 2.37
10 ~> 410 | dist: 2.07
10 ~> 411 | dist: 1.89
10 ~> 412 | dist: 2.58
10 ~> 413 | dist: 1.95
10 ~> 414 | dist: 2.98
10 ~> 415 | dist: 1.69
10 ~> 416 | dist: 1.73
10 ~> 417 | dist: 2.16
10 ~> 418 | dist: 3.03
10 ~> 419 | dist: 2.46
10 ~> 420 | dist: 1.98
10 ~> 421 | dist: 1.82
10 ~> 422 | dist: 1.19
10 ~> 423 | dist: 2.48
10 ~> 424 | dist: 1.92
10 ~> 425 | dist: 2.20
10 ~> 426 | dist: 2.25
10 ~> 427 | dist: 2.40
10 ~> 428 | dist: 3.29
10 ~> 429 | dist: 1.88
10 ~> 430 | dist: 1.68
10 ~> 431 | dist: 1.94
10 ~> 432 | dist: 1.98
10 ~> 433 | dist: 3.22
10 ~> 434 | dist: 2.60
10 ~> 435 | dist: 1.82
10 ~> 436 | dist: 3.14
10 ~> 437 | dist: 1.83
10 ~> 438 | dist: 2.10
10 ~> 439 | dist: 2.66
10 ~> 440 | dist: 2.44
10 ~> 441 | dist: 2.54
10 ~> 442 | dist: 2.81
10 ~> 443 | dist: 2.53
10 ~> 444 | dist: 2.83
10 ~> 445 | dist: 2.66
10 ~> 446 | dist: 2.18
10 ~> 447 | dist: 2.36
10 ~> 448 | dist: 2.71
10 ~> 449 | dist: 1.77
10 ~> 450 | dist: 1.53
10 ~> 451 | dist: 2.37
10 ~> 452 | dist: 1.69
10 ~> 453 | dist: 1.74
10 ~> 454 | dist: 1.68
10 ~> 455 | dist: 2.53
10 ~> 456 | dist: 2.21
10 ~> 457 | dist: 2.11
10 ~> 458 | dist: 2.58
10 ~> 459 | dist: 2.20
10 ~> 460 | dist: 2.20
10 ~> 461 | dist: 1.69
10 ~> 462 | dist: 2.04
10 ~> 463 | dist: 2.43
10 ~> 464 | dist: 2.08
10 ~> 465 | dist: 1.75
10 ~> 466 | dist: 3.21
10 ~> 467 | dist: 2.24
10 ~> 468 | dist: 3.28
10 ~> 469 | dist: 2.51
10 ~> 470 | dist: 2.04
10 ~> 471 | dist: 2.36
10 ~> 472 | dist: 1.88
10 ~> 473 | dist: 2.37
10 ~> 474 | dist: 2.17
10 ~> 475 | dist: 2.16
10 ~> 476 | dist: 2.19
10 ~> 477 | dist: 2.54
10 ~> 478 | dist: 2.58
10 ~> 479 | dist: 1.57
10 ~> 480 | dist: 2.54
10 ~> 481 | dist: 1.78
10 ~> 482 | dist: 1.26
10 ~> 483 | dist: 2.18
10 ~> 484 | dist: 2.56
10 ~> 485 | dist: 2.24
10 ~> 486 | dist: 2.05
10 ~> 487 | dist: 1.86
10 ~> 488 | dist: 0.99
10 ~> 489 | dist: 2.12
10 ~> 490 | dist: 2.08
10 ~> 491 | dist: 1.94
10 ~> 492 | dist: 2.08
10 ~> 493 | dist: 2.56
10 ~> 494 | dist: 2.02
10 ~> 495 | dist: 2.56
10 ~> 496 | dist: 2.24
10 ~> 497 | dist: 2.35
10 ~> 498 | dist: 3.27
10 ~> 499 | dist: 2.40
10 ~> 500 | dist: 1.95
10 ~> 501 | dist: 1.26
10 ~> 502 | dist: 2.10
10 ~> 503 | dist: 2.10
10 ~> 504 | dist: 2.22
10 ~> 505 | dist: 2.04
10 ~> 506 | dist: 1.67
10 ~> 507 | dist: 1.63
10 ~> 508 | dist: 2.53
10 ~> 509 | dist: 2.21
10 ~> 510 | dist: 2.01
10 ~> 511 | dist: 1.76
10 ~> 512 | dist: 1.86
10 ~> 513 | dist: 2.57
10 ~> 514 | dist: 2.61
10 ~> 515 | dist: 2.16
10 ~> 516 | dist: 2.35
10 ~> 517 | dist: 1.75
10 ~> 518 | dist: 2.54
10 ~> 519 | dist: 1.68
10 ~> 520 | dist: 2.13
10 ~> 521 | dist: 2.39
10 ~> 522 | dist: 2.35
10 ~> 523 | dist: 2.52
10 ~> 524 | dist: 2.30
10 ~> 525 | dist: 2.02
10 ~> 526 | dist: 2.17
10 ~> 527 | dist: 1.23
10 ~> 528 | dist: 1.76
10 ~> 529 | dist: 2.44
10 ~> 530 | dist: 1.97
10 ~> 531 | dist: 2.71
10 ~> 532 | dist: 1.51
10 ~> 533 | dist: 1.31
10 ~> 534 | dist: 2.07
10 ~> 535 | dist: 2.21
10 ~> 536 | dist: 2.30
10 ~> 537 | dist: 1.11
10 ~> 538 | dist: 3.22
10 ~> 539 | dist: 1.78
10 ~> 540 | dist: 2.58
10 ~> 541 | dist: 2.59
10 ~> 542 | dist: 2.22
10 ~> 543 | dist: 2.06
10 ~> 544 | dist: 2.60
10 ~> 545 | dist: 2.00
10 ~> 546 | dist: 1.61
10 ~> 547 | dist: 1.91
10 ~> 548 | dist: 1.79
10 ~> 549 | dist: 1.82
10 ~> 550 | dist: 2.10
10 ~> 551 | dist: 2.61
10 ~> 552 | dist: 1.52
10 ~> 553 | dist: 1.76
10 ~> 554 | dist: 1.89
10 ~> 555 | dist: 3.58
10 ~> 556 | dist: 2.37
10 ~> 557 | dist: 2.22
10 ~> 558 | dist: 2.61
10 ~> 559 | dist: 2.55
10 ~> 560 | dist: 2.38
10 ~> 561 | dist: 2.09
10 ~> 562 | dist: 2.21
10 ~> 563 | dist: 2.03
10 ~> 564 | dist: 2.85
10 ~> 565 | dist: 3.24
10 ~> 566 | dist: 2.60
10 ~> 567 | dist: 2.48
10 ~> 568 | dist: 2.04
10 ~> 569 | dist: 2.77
10 ~> 570 | dist: 2.43
10 ~> 571 | dist: 1.37
10 ~> 572 | dist: 2.71
10 ~> 573 | dist: 2.76
10 ~> 574 | dist: 2.12
10 ~> 575 | dist: 2.63
10 ~> 576 | dist: 1.92
10 ~> 577 | dist: 2.00
10 ~> 578 | dist: 1.57
10 ~> 579 | dist: 2.09
10 ~> 580 | dist: 2.22
10 ~> 581 | dist: 2.07
10 ~> 582 | dist: 2.47
10 ~> 583 | dist: 2.21
10 ~> 584 | dist: 2.13
10 ~> 585 | dist: 2.30
10 ~> 586 | dist: 1.95
10 ~> 587 | dist: 2.45
10 ~> 588 | dist: 2.22
10 ~> 589 | dist: 2.28
10 ~> 590 | dist: 2.21
10 ~> 591 | dist: 2.44
10 ~> 592 | dist: 2.01
10 ~> 593 | dist: 2.21
10 ~> 594 | dist: 1.69
10 ~> 595 | dist: 2.15
10 ~> 596 | dist: 2.28
10 ~> 597 | dist: 2.28
10 ~> 598 | dist: 2.07
10 ~> 599 | dist: 2.07
10 ~> 600 | dist: 2.30
10 ~> 601 | dist: 2.50
10 ~> 602 | dist: 1.13
10 ~> 603 | dist: 2.17
10 ~> 604 | dist: 1.89
10 ~> 605 | dist: 2.06
10 ~> 606 | dist: 2.26
10 ~> 607 | dist: 2.33
10 ~> 608 | dist: 2.07
10 ~> 609 | dist: 2.55
10 ~> 610 | dist: 1.72
10 ~> 611 | dist: 2.93
10 ~> 612 | dist: 2.45
10 ~> 613 | dist: 1.74
10 ~> 614 | dist: 1.98
10 ~> 615 | dist: 2.44
10 ~> 616 | dist: 1.97
10 ~> 617 | dist: 3.08
10 ~> 618 | dist: 3.17
10 ~> 619 | dist: 2.04
10 ~> 620 | dist: 1.77
10 ~> 621 | dist: 2.37
10 ~> 622 | dist: 1.43
10 ~> 623 | dist: 1.86
10 ~> 624 | dist: 2.54
10 ~> 625 | dist: 2.46
10 ~> 626 | dist: 2.93
10 ~> 627 | dist: 2.24
10 ~> 628 | dist: 1.54
10 ~> 629 | dist: 2.34
10 ~> 630 | dist: 2.05
10 ~> 631 | dist: 2.26
10 ~> 632 | dist: 2.76
10 ~> 633 | dist: 2.36
10 ~> 634 | dist: 2.34
10 ~> 635 | dist: 2.50
10 ~> 636 | dist: 2.82
10 ~> 637 | dist: 2.31
