--- Arvore geradora minima de 1---
1 ~> 517 | dist: 1.85
1 ~> 518 | dist: 2.29
1 ~> 519 | dist: 2.06
1 ~> 520 | dist: 2.66
1 ~> 521 | dist: 2.96
1 ~> 522 | dist: 2.56
1 ~> 523 | dist: 2.54
1 ~> 524 | dist: 1.81
1 ~> 525 | dist: 2.20
1 ~> 526 | dist: 1.93
1 ~> 527 | dist: 1.69
1 ~> 528 | dist: 2.64
1 ~> 529 | dist: 2.57
1 ~> 530 | dist: 2.43
1 ~> 531 | dist: 2.50
1 ~> 532 | dist: 2.04
1 ~> 533 | dist: 1.07
1 ~> 534 | dist: 2.40
1 ~> 535 | dist: 2.61
1 ~> 536 | dist: 2.41
1 ~> 537 | dist: 2.15
1 ~> 538 | dist: 3.26
1 ~> 539 | dist: 1.97
1 ~> 540 | dist: 2.59
1 ~> 541 | dist: 2.15
1 ~> 542 | dist: 1.74
1 ~> 543 | dist: 1.50
1 ~> 544 | dist: 1.41
1 ~> 545 | dist: 2.25
1 ~> 546 | dist: 1.91
1 ~> 547 | dist: 2.07
1 ~> 548 | dist: 1.89
1 ~> 549 | dist: 2.28
1 ~> 550 | dist: 2.19
1 ~> 551 | dist: 1.68
1 ~> 552 | dist: 1.28
1 ~> 553 | dist: 1.52
1 ~> 554 | dist: 2.11
1 ~> 555 | dist: 3.48
1 ~> 556 | dist: 2.72
1 ~> 557 | dist: 1.60
1 ~> 558 | dist: 2.37
1 ~> 559 | dist: 2.28
1 ~> 560 | dist: 2.14
1 ~> 561 | dist: 2.47
1 ~> 562 | dist: 2.35
1 ~> 563 | dist: 2.49
1 ~> 564 | dist: 2.74
1 ~> 565 | dist: 2.83
1 ~> 566 | dist: 2.77
1 ~> 567 | dist: 1.62
1 ~> 568 | dist: 2.09
1 ~> 569 | dist: 2.56
1 ~> 570 | dist: 2.46
1 ~> 571 | dist: 2.27
1 ~> 572 | dist: 2.54
1 ~> 573 | dist: 2.73
1 ~> 574 | dist: 1.91
1 ~> 575 | dist: 2.63
1 ~> 576 | dist: 1.68
1 ~> 577 | dist: 2.08
1 ~> 578 | dist: 1.89
1 ~> 579 | dist: 2.13
1 ~> 580 | dist: 1.97
1 ~> 581 | dist: 1.67
1 ~> 582 | dist: 2.23
1 ~> 583 | dist: 2.40
1 ~> 584 | dist: 1.01
1 ~> 585 | dist: 2.50
1 ~> 586 | dist: 2.41
1 ~> 587 | dist: 2.18
1 ~> 588 | dist: 1.60
1 ~> 589 | dist: 2.30
1 ~> 590 | dist: 2.46
1 ~> 591 | dist: 2.54
1 ~> 592 | dist: 2.31
1 ~> 593 | dist: 1.63
1 ~> 594 | dist: 1.35
1 ~> 595 | dist: 1.97
1 ~> 596 | dist: 2.22
1 ~> 597 | dist: 2.19
1 ~> 598 | dist: 1.51
1 ~> 599 | dist: 2.41
